Constant,log_P(atm),log_Fuel(%),log_Oxidizer(%),T0/S_H__T,T0/T,Training_R2,Testing_R2
-1.8376,-0.6487,-0.4836,0.1276,3.385,9.8168,0.6233263673067804,0.6863841073555643
-1.0895,-0.6121,-0.4288,0.1104,2.0578,9.0142,0.5837048599856898,0.09492851238865783
-1.4048,-0.6057,-0.4516,0.1102,2.6612,9.3086,0.5877378238856099,0.16523581642192164
-1.3778,-0.6157,-0.4973,0.166,2.8405,9.0904,0.6009197871024884,0.2987036815321992
-1.6412,-0.6361,-0.5099,0.1746,3.3033,9.3856,0.6134036592263674,-1.2625406699812038
-1.1978,-0.5964,-0.4342,0.1282,2.4298,9.0184,0.5829378379254733,0.13953548991035813
-1.9498,-0.632,-0.4713,0.1247,3.1777,9.9328,0.6327960774906896,0.025119359745092832
-1.3765,-0.6244,-0.4945,0.1811,2.8655,9.0848,0.5955450815141274,-0.6110464272195479
-1.6063,-0.6411,-0.4329,0.0959,2.67,9.6974,0.6285961185197538,0.11759301400517752
-1.3576,-0.6192,-0.4694,0.1632,2.886,9.1051,0.5956414299154,0.6215561165135212
-1.9401,-0.6403,-0.4647,0.0985,2.9959,10.0225,0.6315993071099102,0.5504668174370753
-1.5655,-0.6606,-0.4732,0.1358,2.1162,9.6035,0.6307312409466623,0.1773991391609766
-1.2554,-0.6385,-0.41700000000000004,0.1295,2.1691,9.2178,0.5873731886416056,0.5377310961101871
-1.2762,-0.6065,-0.475,0.1714,3.3319,8.9002,0.5763679759004272,0.5942850814890771
-1.3829,-0.5962,-0.425,0.0882,2.7859,9.3185,0.6084141199438121,0.2224693528505407
-1.4467,-0.6365,-0.4667,0.1528,2.4547,9.3256,0.6114409876043715,0.3991957480649314
-1.6238,-0.6125,-0.431,0.0968,2.8558,9.6314,0.6126753276856326,0.3427227009510585
-1.6225,-0.6176,-0.52,0.1929,3.3506,9.2747,0.6044684956938913,0.13761432862865686
