Fuel,T(K),T_Error(%),P(atm),P_Error(%),Fuel(%),Oxidizer(%),Diluant(%),Equv(phi),Diluant Type,Time(μs),Mode_of_measurement,Species_name,Species_measurement_Error,Measured_wavelength(nm),Shocktube_dia(cm),Research_group,Data_Source
CCCCC,1395,±0.7,3.47,±1,0.5,4.0,95.5,1.0,Ar,316,Species,OH,±3,306.0,14.13,Stanford,Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates
CCCCCCCC,1282,±0.7,3.37,±1,0.32,4.0,95.68,1.0,Ar,1020,Species,OH,±3,306.0,14.13,Stanford,Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates
CCCCCCCCCCCC,987,±1,22.0,,1.123,20.77,78.107,1.0,N2,699,Species,OH,±5,306.0,5.0,Stanford,n_Dodecane / Vasu_2010_thesis
CCCCCCCCCCCC,976,±1,4.49,±9.3,1.0,21.0,78.0,0.88,Ar,2555,Speceis,CH,,430.0,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
CCCCCCC,1468,±1,2.13,,0.2,2.2,97.6,1.0,Ar,216,Species,CH,±5,431.0,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane
CCCC,1281,±3,5.46,,0.95,6.19,92.86,1.0,Ar,814,Speceis,CH,±2.36,430.0,11.5,Xi’an_Jiaotong,C1_C4_Alkanes
CCCC,1355,±3,5.5,,0.95,6.19,92.86,1.0,Ar,322,Speceis,CH,±2.36,430.0,11.5,Xi’an_Jiaotong,C1_C4_Alkanes
CCCCCCCCCC,1574, ±1.5,2.12,,0.03,0.465,99.505,1.0,Ar,119,Species,CH,±5,431.0,8.9,Stanford,n_Alkane_Oxidation
CCCC,1543,±3,5.42,,0.95,6.19,92.86,1.0,Ar,46,Speceis,CH,±2.36,430.0,11.5,Xi’an_Jiaotong,C1_C4_Alkanes
CCCCCCCCCCCC,1394,,2.3,,0.043,0.731,99.226,1.0,N2,1463,Speceis,CH,,430.0,15.3,Stanford,n_Dodecane_Nano
