,Fuel,T(K),T_Error(%),P(atm),P_Error(%),Fuel(%),Oxidizer(%),Diluant(%),Equv(phi),Diluant Type,Time(μs),Mode_of_measurement,Species_name,Species_measurement_Error,Measured_wavelength(nm),Shocktube_dia(cm),Research_group,Data_Source,Primary_C,Secondary_C,Tertiary_C,Quaternary_C,Other_Atom,P_P,P_S,P_T,P_Q,S_S,S_T,S_Q,T_T,T_Q,Q_Q,P_H,S_H,T_H
710,CCCCCCC,1249,±1.8,1.97,,1.874,20.6,77.526,1,N2,298,Species,OH,,306.7,5,Stanford,blend_surrogate_fuels,2,5,,,,0,2,0,0,4,0,0,0,0,0,6,10,0
711,CCCCCCC,1299,±1.8,1.89,,1.874,20.6,77.526,1,N2,311,Species,OH,,306.7,5,Stanford,blend_surrogate_fuels,2,5,,,,0,2,0,0,4,0,0,0,0,0,6,10,0
712,CCCCCCC,1358,±1.8,1.85,,1.874,20.6,77.526,1,N2,152,Species,OH,,306.7,5,Stanford,blend_surrogate_fuels,2,5,,,,0,2,0,0,4,0,0,0,0,0,6,10,0
713,CCCCCCC,1378,±1.8,1.99,,1.874,20.6,77.526,1,N2,117,Species,OH,,306.7,5,Stanford,blend_surrogate_fuels,2,5,,,,0,2,0,0,4,0,0,0,0,0,6,10,0
714,CCCCCCC,1305,±1.8,10.62,,1.874,20.6,77.526,1,N2,117,Species,OH,,306.7,5,Stanford,blend_surrogate_fuels,2,5,,,,0,2,0,0,4,0,0,0,0,0,6,10,0
715,CCCCCCC,1236,±1.8,11.24,,1.874,20.6,77.526,1,N2,207,Species,OH,,306.7,5,Stanford,blend_surrogate_fuels,2,5,,,,0,2,0,0,4,0,0,0,0,0,6,10,0
716,CCCCCCC,1299,±1.8,10.25,,1.874,20.6,77.526,1,N2,122,Species,OH,,306.7,5,Stanford,blend_surrogate_fuels,2,5,,,,0,2,0,0,4,0,0,0,0,0,6,10,0
717,CCCCCCC,1344,±1.8,10.27,,1.874,20.6,77.526,1,N2,85,Species,OH,,306.7,5,Stanford,blend_surrogate_fuels,2,5,,,,0,2,0,0,4,0,0,0,0,0,6,10,0
718,CCCCCCC,1290,±1.8,11.8,,1.874,20.6,77.526,1,N2,118,Species,OH,,306.7,5,Stanford,blend_surrogate_fuels,2,5,,,,0,2,0,0,4,0,0,0,0,0,6,10,0
719,CCCCCCC,806,±1.8,20,,1.874,20.6,77.526,1,N2,1377,Species,OH,,306.7,5,Stanford,blend_surrogate_fuels,2,5,,,,0,2,0,0,4,0,0,0,0,0,6,10,0
