Fuel,Primary Carbon,Secondary Carbon,Tertiary Carbon,Quaternary Carbon,T(K),T+AF8-Error(+ACU-),P(atm),P+AF8-Error(+ACU-),Fuel(+ACU-),Oxidizer(+ACU-),Diluant(+ACU-),Equv(phi),Diluant Type,Time(+A7w-s),Mode+AF8-of+AF8-measurement,Species+AF8-name,Species+AF8-measurement+AF8-Error,Measured+AF8-wavelength(nm),Shocktube+AF8-dia(cm),Research+AF8-group,Data+AF8-Source
C,0,0,0,0,1283,NaN,64.3,NaN,27.3,18.2,54.5,3,Ar,288,Pressure,NaN,NaN,NaN,5,Stanford,Low+AF8-Dilution+AF8-CH+AF8-4 /  Ram+AF8-Accelerator+AF8-CH+AF8-4
C,0,0,0,0,1346,NaN,60.4,NaN,27.3,18.2,54.5,3,Ar,190,Pressure,NaN,NaN,NaN,5,Stanford,Low+AF8-Dilution+AF8-CH+AF8-4 /  Ram+AF8-Accelerator+AF8-CH+AF8-4
C,0,0,0,0,1089,NaN,125.5,NaN,27.3,18.2,54.5,3,Ar,331,Pressure,NaN,NaN,NaN,5,Stanford,Low+AF8-Dilution+AF8-CH+AF8-4 /  Ram+AF8-Accelerator+AF8-CH+AF8-4
C,0,0,0,0,1156,NaN,128,NaN,27.3,18.2,54.5,3,Ar,231,Pressure,NaN,NaN,NaN,5,Stanford,Low+AF8-Dilution+AF8-CH+AF8-4 /  Ram+AF8-Accelerator+AF8-CH+AF8-4
C,0,0,0,0,1358,NaN,47.3,NaN,20,13.3,66.7,3,N2,327,Pressure,NaN,NaN,NaN,5,Stanford,Low+AF8-Dilution+AF8-CH+AF8-4 /  Ram+AF8-Accelerator+AF8-CH+AF8-4
C,0,0,0,0,1362,NaN,41.4,NaN,20,13.3,66.7,3,N2,360,Pressure,NaN,NaN,NaN,5,Stanford,Low+AF8-Dilution+AF8-CH+AF8-4 /  Ram+AF8-Accelerator+AF8-CH+AF8-4
C,0,0,0,0,1381,NaN,36.7,NaN,20,13.3,66.7,3,N2,425,Pressure,NaN,NaN,NaN,5,Stanford,Low+AF8-Dilution+AF8-CH+AF8-4 /  Ram+AF8-Accelerator+AF8-CH+AF8-4
C,0,0,0,0,1402,NaN,43.3,NaN,20,13.3,66.7,3,N2,265,Pressure,NaN,NaN,NaN,5,Stanford,Low+AF8-Dilution+AF8-CH+AF8-4 /  Ram+AF8-Accelerator+AF8-CH+AF8-4
C,0,0,0,0,1409,NaN,48.2,NaN,20,13.3,66.7,3,N2,214,Pressure,NaN,NaN,NaN,5,Stanford,Low+AF8-Dilution+AF8-CH+AF8-4 /  Ram+AF8-Accelerator+AF8-CH+AF8-4
C,0,0,0,0,1414,NaN,42.2,NaN,20,13.3,66.7,3,N2,238,Pressure,NaN,NaN,NaN,5,Stanford,Low+AF8-Dilution+AF8-CH+AF8-4 /  Ram+AF8-Accelerator+AF8-CH+AF8-4
C,0,0,0,0,1418,NaN,40.4,NaN,20,13.3,66.7,3,N2,234,Pressure,NaN,NaN,NaN,5,Stanford,Low+AF8-Dilution+AF8-CH+AF8-4 /  Ram+AF8-Accelerator+AF8-CH+AF8-4
C,0,0,0,0,1454,NaN,39.5,NaN,20,13.3,66.7,3,N2,182,Pressure,NaN,NaN,NaN,5,Stanford,Low+AF8-Dilution+AF8-CH+AF8-4 /  Ram+AF8-Accelerator+AF8-CH+AF8-4
