Constant,P_H,P_S,S_H,S_S,Temp(K),Testing_R2,Training_R2,log_Fuel(%),log_Oxidizer(%),log_P(atm)
102.1826,-19.3306,-6.4435,-1.3167,2.5634,-42.6167,0.9112494644916078,0.904908052148048,-0.1397,-0.3431,-1.0428
103.6937,-19.6847,-6.5616,-1.3359,2.6128,-43.2498,0.8773757271213579,0.9129255114710656,-0.1295,-0.3583,-1.0442
101.8376,-19.2742,-6.4247,-1.3105,2.5571,-42.4442,0.9091709592444528,0.9051305118479386,-0.1357,-0.345,-1.0401
100.6293,-19.0098,-6.3366,-1.2951,2.5207,-41.917,0.8936225607368399,0.9074048300400412,-0.1411,-0.3286,-1.0416
101.7601,-19.2268,-6.4089,-1.311,2.549,-42.4354,0.9092502016785394,0.906057178603758,-0.1446,-0.3376,-1.0469
100.2393,-18.8952,-6.2984,-1.2822,2.5081,-41.7708,0.8899627706659022,0.9094312139697348,-0.133,-0.3395,-1.0433
101.8532,-19.2647,-6.4216,-1.3083,2.5566,-42.4533,0.9039391486257572,0.9067712402247632,-0.1302,-0.3538,-1.0419
102.4925,-19.3854,-6.4618,-1.3209,2.5705,-42.7425,0.90664479959804,0.9062194152397314,-0.1344,-0.3541,-1.0472
101.8419,-19.2199,-6.4066,-1.3196,2.5435,-42.4612,0.913347125871874,0.9046790941820876,-0.1529,-0.3381,-1.0539
102.9802,-19.5089,-6.502999999999999,-1.3333,2.5848,-42.9493,0.8946092489675214,0.908690891630093,-0.1452,-0.3401,-1.0483
99.5665,-18.7347,-6.2449,-1.2738,2.4856,-41.4844,0.8914277344098351,0.9083467607407404,-0.1349,-0.3399,-1.0411
100.5732,-18.9582,-6.3194,-1.2886,2.5154,-41.9454,0.9072939386124506,0.9062881612869014,-0.1497,-0.3339,-1.0409
101.4261,-19.1794,-6.3931,-1.308,2.5426,-42.2776,0.8866695420947162,0.9095423207843166,-0.1493,-0.3282,-1.0424
101.553,-19.1896,-6.3965,-1.3099,2.5433,-42.3289,0.890448707363737,0.9096075297023364,-0.1493,-0.3354,-1.046
101.8912,-19.27,-6.4233,-1.3121,2.5556,-42.4613,0.8968746002389374,0.9081248991405836,-0.1332,-0.3498,-1.045
104.3021,-19.8574,-6.6191,-1.3554,2.6319,-43.505,0.8851867068845347,0.9102676095554924,-0.1561,-0.33,-1.0442
102.9338,-19.5033,-6.5011,-1.3313,2.5849,-42.9207,0.8871904951845799,0.9107417612245858,-0.1415,-0.3415,-1.0507
101.2319,-19.1137,-6.3712,-1.3018,2.5347,-42.19600000000001,0.8995975692338526,0.9072524331474686,-0.1377,-0.3445,-1.0431
102.2448,-19.3539,-6.4513,-1.3221,2.5646,-42.6321,0.9056465167184832,0.9068179741866064,-0.1524,-0.3308,-1.0495
