,Unnamed: 0,Fuel,T(K),T_Error(%),P(atm),P_Error(%),Fuel(%),Oxidizer(%),Diluant(%),Equv(phi),Diluant Type,Time(μs),Mode_of_measurement,Species_name,Species_measurement_Error,Measured_wavelength(nm),Shocktube_dia(cm),Research_group,Data_Source,Primary_C,Secondary_C,Tertiary_C,Quaternary_C,Other_Atom,P_P,P_S,P_T,P_Q,S_S,S_T,S_Q,T_T,T_Q,Q_Q,P_H,S_H,T_H,label
32,166,CCC,1250,±0.7,5.98,±1,0.8,8.0,91.2,0.5,Ar,890,Species,OH,±1,306.7,14.13,Stanford,Lam_2013_thesis / propane_const_V,2,1,,,,0,2,0,0,0,0,0,0,0,0,6,2,0,1
33,167,CCC,1234,±0.7,6.99,±1,0.8,8.0,91.2,0.5,Ar,940,Species,OH,±1,306.7,14.13,Stanford,Lam_2013_thesis / propane_const_V,2,1,,,,0,2,0,0,0,0,0,0,0,0,6,2,0,1
34,168,CCC,1223,±0.7,6.08,±1,0.8,8.0,91.2,0.5,Ar,1270,Species,OH,±1,306.7,14.13,Stanford,Lam_2013_thesis / propane_const_V,2,1,,,,0,2,0,0,0,0,0,0,0,0,6,2,0,1
35,169,CCC,1194,±0.7,6.13,±1,0.8,8.0,91.2,0.5,Ar,1790,Species,OH,±1,306.7,14.13,Stanford,Lam_2013_thesis / propane_const_V,2,1,,,,0,2,0,0,0,0,0,0,0,0,6,2,0,1
36,170,CCC,1189,±0.7,7.17,±1,0.8,8.0,91.2,0.5,Ar,1810,Species,OH,±1,306.7,14.13,Stanford,Lam_2013_thesis / propane_const_V,2,1,,,,0,2,0,0,0,0,0,0,0,0,6,2,0,1
37,171,CCC,1184,±0.7,7.17,±1,0.8,8.0,91.2,0.5,Ar,1820,Species,OH,±1,306.7,14.13,Stanford,Lam_2013_thesis / propane_const_V,2,1,,,,0,2,0,0,0,0,0,0,0,0,6,2,0,1
38,172,CCC,1147,±0.7,7.44,±1,0.8,8.0,91.2,0.5,Ar,2980,Species,OH,±1,306.7,14.13,Stanford,Lam_2013_thesis / propane_const_V,2,1,,,,0,2,0,0,0,0,0,0,0,0,6,2,0,1
39,173,CCC,1125,±0.7,7.29,±1,0.8,8.0,91.2,0.5,Ar,4260,Species,OH,±1,306.7,14.13,Stanford,Lam_2013_thesis / propane_const_V,2,1,,,,0,2,0,0,0,0,0,0,0,0,6,2,0,1
40,174,CCC,1081,±0.7,6.64,±1,0.8,8.0,91.2,0.5,Ar,6180,Species,OH,±1,306.7,14.13,Stanford,Lam_2013_thesis / propane_const_V,2,1,,,,0,2,0,0,0,0,0,0,0,0,6,2,0,1
41,175,CCC,1034,±0.7,7.06,±1,0.8,8.0,91.2,0.5,Ar,10510,Species,OH,±1,306.7,14.13,Stanford,Lam_2013_thesis / propane_const_V,2,1,,,,0,2,0,0,0,0,0,0,0,0,6,2,0,1
42,176,CCC,1006,±0.7,7.16,±1,0.8,8.0,91.2,0.5,Ar,15660,Species,OH,±1,306.7,14.13,Stanford,Lam_2013_thesis / propane_const_V,2,1,,,,0,2,0,0,0,0,0,0,0,0,6,2,0,1
43,177,CCC,991,±0.7,7.16,±1,0.8,8.0,91.2,0.5,Ar,17790,Species,OH,±1,306.7,14.13,Stanford,Lam_2013_thesis / propane_const_V,2,1,,,,0,2,0,0,0,0,0,0,0,0,6,2,0,1
44,178,CCC,1381,±0.7,5.29,±1,0.8,8.0,91.2,0.5,Ar,150,Species,OH,±1,306.7,14.13,Stanford,Lam_2013_thesis / propane_const_V,2,1,,,,0,2,0,0,0,0,0,0,0,0,6,2,0,1
45,179,CCC,1341,±0.7,5.41,±1,0.8,8.0,91.2,0.5,Ar,270,Species,OH,±1,306.7,14.13,Stanford,Lam_2013_thesis / propane_const_V,2,1,,,,0,2,0,0,0,0,0,0,0,0,6,2,0,1
46,180,CCC,1273,±0.7,6.24,±1,0.8,8.0,91.2,0.5,Ar,680,Species,OH,±1,306.7,14.13,Stanford,Lam_2013_thesis / propane_const_V,2,1,,,,0,2,0,0,0,0,0,0,0,0,6,2,0,1
47,181,CCC,1260,±0.7,6.37,±1,0.8,8.0,91.2,0.5,Ar,830,Species,OH,±1,306.7,14.13,Stanford,Lam_2013_thesis / propane_const_V,2,1,,,,0,2,0,0,0,0,0,0,0,0,6,2,0,1
48,182,CCC,1208,±0.7,6.69,±1,0.8,8.0,91.2,0.5,Ar,1760,Species,OH,±1,306.7,14.13,Stanford,Lam_2013_thesis / propane_const_V,2,1,,,,0,2,0,0,0,0,0,0,0,0,6,2,0,1
49,183,CCC,1202,±0.7,5.26,±1,0.8,8.0,91.2,0.5,Ar,1750,Species,OH,±1,306.7,14.13,Stanford,Lam_2013_thesis / propane_const_V,2,1,,,,0,2,0,0,0,0,0,0,0,0,6,2,0,1
50,184,CCC,1170,±0.7,6.65,±1,0.8,8.0,91.2,0.5,Ar,2950,Species,OH,±1,306.7,14.13,Stanford,Lam_2013_thesis / propane_const_V,2,1,,,,0,2,0,0,0,0,0,0,0,0,6,2,0,1
