Constant,log_P(atm),log_Fuel(%),log_Oxidizer(%),T0/S_H__T,T0/T,Training_R2,Testing_R2
-1.6478,-0.6102,-0.4901,0.1038,2.186,9.7377,0.8709532017239618,0.6863337340063829
-1.6875,-0.6187,-0.4826,0.0974,1.8584,9.8719,0.8793766892559135,0.880914047194135
-1.9062,-0.648,-0.5248,0.1357,2.4736,10.0215,0.881233524846783,0.34768176160185504
-1.8092,-0.6272,-0.4919,0.1142,2.2669,9.944,0.8756463990130327,0.8265943492626735
-1.8201,-0.6416,-0.5287,0.1445,2.5180000000000002,9.8543,0.8759017813275022,0.6396438734714307
-2.0857,-0.633,-0.5009,0.0725,2.9773,10.3551,0.8769201148681858,0.6882687734053982
-1.7876,-0.5859,-0.5222,0.1464,3.6389,9.6141,0.8643122174062656,0.8368028228711735
-1.8996,-0.6081,-0.5547,0.1626,2.8976,9.7957,0.8757257678355304,0.8028188558706347
-1.9057,-0.6286,-0.4631,0.083,2.826,10.1171,0.8717705522428382,0.7454296743361963
-2.2827,-0.6515,-0.5535,0.131,3.8829,10.3788,0.8855876576415899,0.4491306201780512
-1.8201,-0.6013,-0.518,0.1105,2.394,9.8702,0.8812366562682767,0.7279201942354105
-1.7483,-0.6004,-0.5247,0.1221,2.5389,9.7549,0.8779433639713741,0.7773052121312611
-1.9431,-0.6083,-0.5062,0.1097,2.6704,10.0223,0.8760396065793332,0.8847065482798813
-1.7706,-0.6085,-0.5379999999999999,0.1594,2.8287,9.6551,0.8740862687939578,0.6919038507730341
-1.5342,-0.6325,-0.4993,0.1867,1.8089,9.4606,0.8829009147320072,0.3028027323161208
-1.9822,-0.6226,-0.4934,0.0874,2.9491,10.1824,0.8808851277720429,0.6882900415826574
-1.7041,-0.6169,-0.5083,0.1327,2.4149,9.7405,0.8742990898608507,0.8508961631480563
-1.6793,-0.6093,-0.5065,0.1342,2.2162,9.6859,0.8693459345419741,0.893310568521851
-1.9649,-0.628,-0.5641,0.1881,3.3497,9.8054,0.8791122187817075,0.867149019799636
-2.2213,-0.6329,-0.5128,0.0767,2.667,10.4919,0.8872002758177653,0.8320970029833314
-1.6309,-0.6208,-0.4564,0.1394,1.8952,9.6697,0.8832262757068408,0.8262928278993492
-2.1162,-0.6597,-0.5413,0.1286,3.1191,10.2032,0.8846003687953478,0.6198546847747661
-1.8775,-0.6103,-0.5222,0.1214,2.6013,9.9057,0.8754853994360126,0.7682604016270811
